projectandfeature,methodname,totaltraces,truetraces,precision,recall
dragonflybsd-maxhostnamelen,Classic vector model,34,2,0.058823529411764705,1.0
dragonflybsd-clnt_debug,Classic vector model,209,2,0.009569377990430622,1.0
dragonflybsd-whistle,Classic vector model,12,2,0.16666666666666666,1.0
dragonflybsd-_netgraph_h_,Classic vector model,11,2,0.18181818181818182,1.0
dragonflybsd-yp,Classic vector model,1035,18,0.017391304347826087,1.0
dragonflybsd-support_dhcp,Classic vector model,234,2,0.008547008547008548,1.0
dragonflybsd-ipv6_portrange,Classic vector model,29,2,0.06896551724137931,1.0
dragonflybsd-zallocdebug,Classic vector model,1,2,0.0,0.0
dragonflybsd-use_poll,Classic vector model,1689,2,0.0005920663114268798,0.5
dragonflybsd-debug_thread_kern,Classic vector model,528,2,0.0,0.0
dragonflybsd-__i386__,Classic vector model,6,3,0.0,0.0
dragonflybsd-max,Classic vector model,616,3,0.00487012987012987,1.0
dragonflybsd-words_bigendian,Classic vector model,46,3,0.06521739130434782,1.0
dragonflybsd-sra,Classic vector model,27,3,0.1111111111111111,1.0
dragonflybsd-_sys_event_h_,Classic vector model,1709,2,0.0005851375073142189,0.5
dragonflybsd-_unistd_h_,Classic vector model,458,2,0.004366812227074236,1.0
dragonflybsd-statistics,Classic vector model,13,6,0.15384615384615385,0.3333333333333333
dragonflybsd-rpc_debug,Classic vector model,253,2,0.007905138339920948,1.0
dragonflybsd-pic,Classic vector model,53,8,0.09433962264150944,0.625
dragonflybsd-authentication,Classic vector model,42,4,0.047619047619047616,0.5
dragonflybsd-tm_gmtoff,Classic vector model,353,3,0.0028328611898017,0.3333333333333333
dragonflybsd-solaris2,Classic vector model,2,2,1.0,1.0
dragonflybsd-unix,Classic vector model,69,3,0.043478260869565216,1.0
dragonflybsd-krb4_encpwd,Classic vector model,4,2,0.5,1.0
dragonflybsd-__extensions__,Classic vector model,23,6,0.2608695652173913,1.0
dragonflybsd-testing,Classic vector model,8,3,0.125,0.3333333333333333
dragonflybsd-net_debug,Classic vector model,675,2,0.0014814814814814814,0.5
dragonflybsd-sysv_rwlock,Classic vector model,62,5,0.08064516129032258,1.0
dragonflybsd-maxnamlen,Classic vector model,7,2,0.2857142857142857,1.0
dragonflybsd-fts_whiteout,Classic vector model,26,2,0.038461538461538464,0.5
dragonflybsd-des,Classic vector model,686,2,0.0029154518950437317,1.0
dragonflybsd-_lock_debug,Classic vector model,529,2,0.001890359168241966,0.5
dragonflybsd-_st_fsmid_present_,Classic vector model,1639,3,0.0,0.0
dragonflybsd-has_inet6_structs,Classic vector model,394,2,0.005076142131979695,1.0
dragonflybsd-_gnu_source,Classic vector model,1589,6,0.0,0.0
dragonflybsd-locale_debug,Classic vector model,334,3,0.0,0.0
dragonflybsd-debug_malloc,Classic vector model,461,2,0.0021691973969631237,0.5
dragonflybsd-__linux__,Classic vector model,19,3,0.10526315789473684,0.6666666666666666
dragonflybsd-_kernel,Classic vector model,108,6,0.018518518518518517,0.3333333333333333
dragonflybsd-hash_statistics,Classic vector model,124,4,0.03225806451612903,1.0
dragonflybsd-nelements,Classic vector model,2,2,1.0,1.0
dragonflybsd-__x86_64__,Classic vector model,247,2,0.0,0.0
dragonflybsd-colorls,Classic vector model,3,5,0.6666666666666666,0.4
dragonflybsd-boot2,Classic vector model,2,2,1.0,1.0
dragonflybsd-tm_zone,Classic vector model,368,2,0.0,0.0
dragonflybsd-__gnuc__,Classic vector model,6,6,0.6666666666666666,0.6666666666666666
dragonflybsd-yydebug,Classic vector model,3,2,0.6666666666666666,1.0
dragonflybsd-min,Classic vector model,397,2,0.005037783375314861,1.0
dragonflybsd-krb5,Classic vector model,4,3,0.25,0.3333333333333333
dragonflybsd-__no_tls,Classic vector model,1689,3,0.0005920663114268798,0.3333333333333333
dragonflybsd-libstand,Classic vector model,63,2,0.031746031746031744,1.0
dragonflybsd-rsa_encpwd,Classic vector model,58,2,0.034482758620689655,1.0
dragonflybsd-yytokentype,Classic vector model,2,2,1.0,1.0
dragonflybsd-_st_flags_present_,Classic vector model,1266,2,0.0,0.0
dragonflybsd-_pthreads_debugging2,Classic vector model,8,2,0.0,0.0
dragonflybsd-_pax_,Classic vector model,25,2,0.08,1.0
dragonflybsd-ldbl_implicit_nbit,Classic vector model,46,2,0.043478260869565216,1.0
dragonflybsd-_all_source,Classic vector model,1537,7,0.0,0.0
dragonflybsd-krb4,Classic vector model,3,2,0.3333333333333333,0.5
dragonflybsd-no_history,Classic vector model,1749,7,0.002858776443682104,0.7142857142857143
dragonflybsd-yy__ktrfmt_ktrfmt_tab_h_included,Classic vector model,1659,2,0.0012055455093429777,1.0
dragonflybsd-_signal_h_,Classic vector model,172,3,0.01744186046511628,1.0
dragonflybsd-__cplusplus,Classic vector model,5,18,0.6,0.16666666666666666
dragonflybsd-mem_chk,Classic vector model,589,2,0.003395585738539898,1.0
dragonflybsd-_darwin_use_64_bit_inode,Classic vector model,1503,3,0.0,0.0
dragonflybsd-ngroups,Classic vector model,7,2,0.2857142857142857,1.0
dragonflybsd-debug,Classic vector model,155,51,0.11612903225806452,0.35294117647058826
dragonflybsd-no_floating_point,Classic vector model,1402,9,0.0,0.0
dragonflybsd-have_sa_len,Classic vector model,1052,3,0.0028517110266159697,1.0
dragonflybsd-resolvsort,Classic vector model,5,3,0.6,1.0
dragonflybsd-_tandem_source,Classic vector model,1602,6,0.0,0.0
dragonflybsd-compat_32bit,Classic vector model,128,2,0.015625,1.0
dragonflybsd-backwards,Classic vector model,33,3,0.030303030303030304,0.3333333333333333
